pair_id,query_id,target_id,query_smiles,target_smiles,query_inchi_formula,target_inchi_formula,query_heavy_atoms_from_formula,target_heavy_atoms_from_formula,selection_source,pred_exact,pred_parent,pred_stereo,pred_tautomer,pred_family
chembl_obvious_negative_0011,911259,654034,S=C(NCCc1ccccc1)N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,CCCCCCCCCCCCCCCCCCCCOC(=O)N(Cc1cccc[n+]1CC)C(C)=O,C20H23Cl2N3S,C31H55N2O3,26,36,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0012,1322024,3123603,O=C1NNC2NC(=O)C3(NN2C1=O)c1ccccc1-c1ccccc13,N#C/N=C(\NCc1ccc(S(=O)(=O)c2cccc(-n3nc(O)cc3O)c2)cc1)Nc1ccncc1,C17H13N5O3,C23H19N7O4S,25,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0013,1439669,220338,O=C(Nc1ccccc1)OCCc1cc(-c2cncc(OC[C@@H]3CCCN3)c2)on1,C[C@@H](c1c[nH]c2ccccc12)C(NC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1)C(=O)N[C@@H](CCCCN)C(=O)OC(C)(C)C,C22H24N4O4,C34H46FN5O6S,30,47,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0014,2640057,151544,Cn1ncc2c(N)nc(N3CCCN(S(C)(=O)=O)CC3)nc21,CCCCOc1c(-c2c[nH]c3ccc(/C(C)=C/C(=O)O)cc23)cc(C(C)C)cc1C(C)C,C12H19N7O2S,C28H35NO3,22,32,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0015,2668970,1844450,CC1(C)NC(=O)N(CCCN2CC[C@@](O)(C(F)(F)F)C2)C1=O,COc1ccc(C2=NNC(c3ccc(OCc4csc(-c5ccccc5)n4)cc3)C2)cc1,C13H20F3N3O3,C26H23N3O2S,22,32,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0016,664002,2127599,CCOP(=O)(OCC)C(c1ccc(O)cc1)N1CCN(C)CC1,Cc1ccc(C2=C(c3nn[nH]n3)C(=O)NC(c3ccc(C#CCOCc4ccccc4)cc3)(C(F)(F)F)C2)cc1,C16H27N2O4P,C30H24F3N5O2,23,40,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0017,1052833,2293102,Brc1ccc(-c2nc3ccc(-c4nc5ccc(Oc6ccccc6)cc5[nH]4)cn3c2Nc2ccccc2)cc1,CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)c(O)c2)cc1,C32H22BrN5O,C23H24N2O3,39,28,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0018,1768678,701888,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](C)c5cc([N+](=O)[O-])ccc45)cc3)cc2)cc1,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCNC1,C29H24N6O3,C15H15FN6O,38,23,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0019,1779647,1154527,CC(C)Cn1c(=O)c2c3c(cnc2n(CC(C)C)c1=O)C(=O)C1=C(C3=O)C2CCC1C2,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)C2C(=O)[C@@H](Cc3c2[nH]c2ccccc32)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCC2C(=O)[C@H](Cc2ccccc2)NC1=O,C24H27N3O4,C46H54N6O7,31,59,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0020,1010959,875367,CCC(=O)N1c2ccc(S(=O)(=O)CCC(=O)N3CCn4c3nc3ccccc34)cc2CC1C,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(=O)c2c(O)c(O)cc(C3Oc4cc(O)cc(O)c4CC3OC(=O)c3cc(O)c(O)c(O)c3)c2c1)c1cc(O)c(O)c(O)c1,C24H26N4O4S,C43H32O20,33,63,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0021,1402781,2367877,CC(c1ccon1)N(C)C(=O)c1cnn(-c2ncc3c(n2)-c2ccccc2CC3)c1C1CC1,O=C(NO)c1ccc(Cc2nnc(-c3ccccc3)s2)cc1,C25H24N6O2,C16H13N3O2S,33,22,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0022,1244257,827512,COc1ccc(-c2onc(C)c2C)cc1S(=O)(=O)N1CCN(c2cc(C)ccc2C)CC1,COc1ccc(-c2nc3cc[nH]cc-3n2)cc1OC.Cl,C24H29N3O4S,C14H13N3O2.ClH,32,20,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0023,221336,377865,CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCN(C(C)=O)C3)C(=O)O1,O=C(COc1ccc(Cl)cc1Cl)N1N=C(c2ccc(Cl)cc2Cl)CC1(O)c1cc(F)c(Cl)cc1Cl,C18H23N3O4,C23H13Cl6FN2O3,25,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0024,633096,3180432,O=C(NCC1CCNCC1)c1ccccc1-c1cc(Cl)cc(Cl)c1,COC(=O)c1cccc(N2C(=O)NC3C(=Cc4ccc(C#N)cc4N3c3ccc(O)cc3)C2=O)c1,C19H20Cl2N2O,C26H18N4O5,24,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0025,3087711,215353,N#CN1[C@H]2CC[C@@H]1[C@H](NC(=O)c1ccc(-c3ccc(Cl)cc3)nc1)C2,CNC(=O)c1ccc(CCC(COc2ccc(-c3cccc([N+](=O)[O-])c3)cc2)N2C(=O)CSC2=O)cc1,C19H17ClN4O,C27H25N3O6S,25,37,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0026,687930,3162484,COc1ccc(CCCNC(=O)C[C@H](C(=O)N[C@H](C=O)CC(=O)O)C(C)C)cc1,O=C([C@H]1C[C@@](c2ccc(C(F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1)N1Cc2ccncc2C1,C21H30N2O6,C27H20F8N2O3S,29,41,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0027,456628,2522410,COc1ccc(C2=C(NC(C)=O)C(=O)c3ccccc3C2=O)cc1,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,C19H15NO4,C60H87N13O14,24,87,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0028,2209354,767692,Cl.O=C(OCCCCCN1CCCCC1)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,O=C(c1cccs1)N1CCC(c2nc3ccccc3s2)CC1,C25H27NO6.ClH,C17H16N2OS2,33,22,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0029,2674951,2130590,O=S(=O)(CCc1cccc2ccccc12)NCc1cc2n(n1)CCNC2,O=C(NCC1(F)CCCNC1)c1cc(NC(=O)c2cc(-c3ncccc3F)c(F)cc2Cl)n(-c2ccccc2)n1,C19H22N4O2S,C28H24ClF3N6O2,26,40,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0030,3082725,2045846,CC1(C)Sc2nnc(-c3cc(-c4ccc(Cl)cc4)n[nH]3)n2N=C1c1ccccc1,COc1cc(OCc2cccc(OCc3cc(C(F)(F)F)ccc3F)c2)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,C21H17ClN6S,C29H21F4N3O5S,29,42,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0031,1229301,1522420,COc1cc(-c2cc3nc(NCCc4ccc(S(N)(=O)=O)cc4)ccn3n2)cc(OC)c1OC,C[C@@H]1O[C@@H](O[C@H]2[C@H](OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@@](C)(C=O)[C@@H]6CC[C@@]5(C)[C@]3(C)CC4)O[C@H](C)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,C23H25N5O5S,C81H128O45,34,126,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0032,961108,297107,O=C1CCC(=O)N1N1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O,c1nc(CC2CCN(C3CCCCC3)CC2)c[nH]1,C22H16N2O4,C15H25N3,28,18,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0033,1615141,2477545,Cn1cc(-c2cc3cnc(Nc4ccc(C(=O)N5CCC5)cc4Cl)cc3n2C(=O)OC(C)(C)C)cn1,Cc1cc(S(=O)(=O)N2CCc3c(nc(C(C)(C)C)n3CC3CC3)C2)no1,C26H27ClN6O3,C18H26N4O3S,36,26,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0034,1360906,2924203,FC(F)(F)c1nc(NCc2ccncc2)c2nnn(C[C@H]3CCCO3)c2n1,O=C1NC(=O)C(=C/C=C/c2ccco2)C(=O)N1,C16H16F3N7O,C11H8N2O4,27,17,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0035,2043852,1531394,CC(C)(c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1)c1cnco1,Cc1cccc(NC(=O)c2nn(C)c(-c3ccncc3)c2C)n1,C24H20ClN3O4S,C17H17N5O,33,23,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0036,2468572,2010950,Cn1ncc(Cl)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(Cl)c(C(F)(F)F)c2)cc1,O=C([C@H]1CC1c1ccccc1)N1CCN(C2CCCCC2)CC1,C23H21Cl2F3N4O,C20H28N2O,33,23,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0037,140577,1330995,CNc1nccc(Nc2nc3ccc(C(=O)Nc4c(C)cccc4Cl)cc3s2)n1,CC(C)(O)/C=C\P(=O)(O)O,C20H17ClN6OS,C5H11O4P,29,10,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0038,148554,2164489,Cc1ccc2c(c1)nc(COc1ccc(Cl)cc1)n2CCCC1CCCNC1.Cc1ccc2nc(COc3ccc(Cl)cc3)n(CCCC3CCCNC3)c2c1,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccc(-c4ccc5cccnc5c4)c(F)c3)CC2)C1,2C23H28ClN3O,C35H30FN9O,28,46,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0039,2700875,2626100,CC[C@H](C)NC(=O)CCc1nc(-c2nn(-c3ccccc3)c(=O)n(C)c2=O)no1,CCCCCNC(=O)N[C@@]1(C)CCS(=O)(=O)C1,C19H22N6O4,C11H22N2O3S,29,17,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0040,1574264,1628103,COc1cc2ncnc(Nc3c(F)cc(F)cc3Br)c2c(OC)c1OC,CNCCOc1ccc(Br)cc1Br,C17H14BrF2N3O3,C9H11Br2NO,26,13,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0041,1219332,1502480,CCOc1ccc(CCNC(=O)c2cc3c(=O)n(CC)c4ccccc4c3s2)cc1OCC,COc1ccc(N2C(=O)c3ccccc3C2=O)c(N)c1,C26H28N2O4S,C15H12N2O3,33,20,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0042,231306,656028,Cc1csc2nc([C@H](C)NC(=O)/C=C/c3ccccn3)oc(=O)c12,COc1ccc2c(Cc3ccc(C(C)C)cc3)c3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,C17H15N3O3S,C30H30NO4,24,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0043,2676945,309071,Cc1c(C#N)c(NC(=O)CNC(C)c2cccs2)n(CC2CCCO2)c1C,CN(C)S(=O)(=O)NCCCC[C@H](NC(=O)OCC1(Cc2ccc(F)cc2)CCC1)C(=O)C(=O)NCc1cccnc1,C20H26N4O2S,C28H38FN5O6S,27,41,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0044,818538,729806,CCCCOc1cccc(C(=O)N(Cc2ccc(N(C)C)cc2)C2CCS(=O)(=O)C2)c1,CCOC(=O)c1c(C)nc(-c2ccccc2)nc1N,C24H32N2O4S,C14H15N3O2,31,19,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0045,1566289,2722808,CNc1cc(C)cc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)c1,CCCCC1(O)CC(=O)c2c(O)cc(O)cc2O1,C22H26F3N3O,C13H16O5,29,18,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0046,1979046,1861400,CC(C)CN(Cc1cc(Cl)c2c(c1)OCCCO2)C(=O)[C@@H]1CCN(Cc2cccc(N)c2)C1,CCCNC(=O)c1nn(CC)cc1NC(=O)c1cn(C)nc1C,C26H34ClN3O3,C15H22N6O2,33,23,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0047,1759707,3202366,CCCCOc1ccc(C(=O)NOCCCCCC(=O)NO)cc1,CC(=O)c1nn(CC(=O)N2CC[C@H]2C(=O)Nc2cccc(C)n2)c2ccc(-c3ccc4cccnc4c3)cc12,C17H26N2O5,C30H26N6O3,24,39,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0048,3110641,2223310,C[C@H]1CC[C@@H](N)CN1c1cnc(-c2ccc(F)c(F)c2)cc1Cn1cnc2c(N)ncnc21,CN(/N=N/c1ccc(C#N)cc1)C(=O)Cc1ccc(O)cc1,C23H24F2N8,C16H14N4O2,33,22,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0049,2180441,1534385,COC(=O)COCCCC[C@@H]1[C@@H](c2ccc(C(O)C3CCCCC3)cc2)[C@H](O)C[C@H]1Cl,N=c1ccn2c(n1)OCC1C2O[C@@H](O)[C@H]1O,C25H37ClO5,C9H11N3O4,31,16,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0050,2693894,3130581,CC(C)C(=O)N1CC(=O)N(C)[C@@H]1c1ccccc1,Cc1cnc(-n2cnc(-c3ccc4c(c3)c(N3C[C@@H](C)n5c(c(CCCOc6cc(C)c(Cl)c(C)c6)c6ccc(Cl)c(-c7c(C)nn(C)c7C)c65)C3=O)cn4C)n2)nc1,C14H18N2O2,C45H44Cl2N10O2,18,59,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0051,236289,3007951,CN(C)c1ccc(C(=O)NCCCCCC(=O)O)cc1,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(Cc2c(F)cccc2F)NN1,C15H22N2O3,C31H30ClF3N8,20,43,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0052,2597185,3113631,Cc1c(C(=O)Oc2ccccc2C(C)C)cnn1-c1ccncc1,O=C(NCCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1)c1ccc(S(=O)(=O)F)cc1,C19H19N3O2,C32H27ClF2N6O4S,24,46,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0053,1834481,1369880,O=c1c(/C=N/Nc2nc(N3CCOCC3)c3ccsc3n2)coc2ccccc12,COC(=O)[C@@H]1C[S@@+]([O-])C[C@H](C(=O)OC)N1,C20H17N5O3S,C8H13NO5S,29,15,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0054,477563,3247230,N#Cc1ccc2[nH]c(-c3cncnc3)c(-c3ccc(F)c(Cl)c3)c2n1,CC[C@]1(C(=O)O)CC[C@H](C(=O)N2CC[C@@]3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CC[C@@H]23)CC1,C18H9ClFN5,C31H31F8NO5S,25,46,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0055,1991009,195412,C[C@H](NC(=O)C1CC1)c1ccc(OC2CCN(c3ccnc(N4CCOCC4)n3)C2)cc1,Nc1nc(O)c2ncn(C[C@@H]3CO[C@H](P(=O)(O)O)O3)c2n1,C24H31N5O3,C9H12N5O6P,32,21,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0056,2884321,761709,Fc1ccccc1-c1nccnc1NCc1ccncc1,Cn1cc(C(=O)NCCN2CCN(c3ccccc3F)CC2)c2c3ccccc3n(C)c2c1=O,C16H13FN4,C26H28FN5O2,21,34,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0057,3107650,2285124,Cc1nnn(Cc2cc(Cl)ccc2/C=C/C(=O)N2CCC(c3nnc(CN4CCCCC4)o3)CC2)n1,COc1ccc(CN[C@@H](C)C(N)=O)cc1.CS(=O)(=O)O,C25H31ClN8O2,C11H16N2O2.CH4O3S,36,20,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0058,2521413,1563297,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N2CCCC(Nc3ncc(Br)c(-c4c[nH]c5ccccc45)n3)C2)nc1,O=C1NC(=O)[C@H](Cc2c[nH]c3ccccc23)n2c1nc1ccccc1c2=O,C29H31BrN8O2,C20H14N4O3,40,27,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0059,2309052,26919,COc1ccc2oc(=O)cc(CO/N=C(\C)C(C)=O)c2c1,CN1CCc2ccccc2C1,C15H15NO5,C10H13N,21,11,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0060,893314,2502471,CCOc1ccccc1/C=C/c1nc2ccccc2nc1O,COc1cc(-c2cnc3c(N4CCCC(CNC(=O)C5CCCC5)C4)snc3c2)ccc1N,C18H16N2O2,C25H31N5O2S,22,33,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0061,2208356,2176453,CN1CCC2(CCN(c3cccc4c3CCN(C(=O)/C=C/c3c(-n5cnnn5)ccc(Cl)c3F)[C@@H]4C(=O)Nc3ccc(C(=O)O)cc3)CC2)C1=O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(N)=O)C(C)C)C(C)C,C36H34ClFN8O5,C110H164N28O31,51,169,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0062,2541354,171485,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CC1)NC(=O)OCCc1cccc(Cl)c1,CC(C)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O,C22H28ClN3O5,C14H24N2O5,31,21,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0063,2588212,370886,Cc1nc2[nH]cc(C(=O)N[C@@H](C)c3cnn(C)c3C)c(=O)n2n1,N#Cc1ncc2nc1OCCCCCOc1cc(NCc3cnco3)c(Cl)cc1NC(=O)N2,C14H17N7O2,C21H20ClN7O4,23,33,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0064,1787622,571281,OCCn1cc(-c2ccc(-c3cc4c(Nc5ccncc5)ncnn4c3)cc2)cn1,Cc1ccc(C)c2c1CC(CN=[N+]=[N-])O2,C22H19N7O,C11H13N3O,30,15,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0065,3157501,952137,Fc1ccccc1-c1ccc2[nH]nc(-c3ccncc3)c2n1,COC(=O)c1[nH]c(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2ccccn2)c1C,C17H11FN4,C25H30N4O6,22,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
